group	ec_number	pathwayid	pathway_id	pathway_name
group A	1.-.-.-	p231	231	Puromycin biosynthesis
group A	1.-.-.-	p592	592	alpha-Linolenic acid metabolism
group A	1.-.-.-	p633	633	Trinitrotoluene degradation
group A	1.-.-.-	p780	780	Biotin metabolism
group A	1.-.-.-	p860	860	Porphyrin and chlorophyll metabolism
group A	1.-.-.-	p950	950	Isoquinoline alkaloid biosynthesis
group A	1.-.-.-	p981	981	Insect hormone biosynthesis
group A	1.-.-.-	p998	998	Biosynthesis of various antibiotics
group A	1.-.-.-	p1057	1057	Biosynthesis of type II polyketide products
group A	1.1.-.-	p363	363	Bisphenol A degradation
group A	1.1.-.-	p624	624	1- and 2-Methylnaphthalene degradation
group A	1.1.-.-	p625	625	Tetrachloroethene degradation
group A	1.1.-.-	p626	626	Naphthalene and anthracene degradation
group A	1.1.-.-	p627	627	"1,4-Dichlorobenzene degradation"
group A	1.1.-.-	p830	830	Retinol metabolism
group A	1.1.-.-	p903	903	Limonene and pinene degradation
group A	1.1.1.-	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.-	p51	51	Fructose and mannose metabolism
group A	1.1.1.-	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.-	p140	140	C21-Steroid hormone metabolism
group A	1.1.1.-	p240	240	Pyrimidine metabolism
group A	1.1.1.-	p253	253	Tetracycline biosynthesis
group A	1.1.1.-	p260	260	"Glycine, serine and threonine metabolism"
group A	1.1.1.-	p362	362	Benzoate degradation via hydroxylation
group A	1.1.1.-	p363	363	Bisphenol A degradation
group A	1.1.1.-	p400	400	"Phenylalanine, tyrosine and tryptophan biosynthesis"
group A	1.1.1.-	p520	520	Amino sugar and nucleotide sugar metabolism
group A	1.1.1.-	p523	523	Polyketide sugar unit biosynthesis
group A	1.1.1.-	p562	562	Inositol phosphate metabolism
group A	1.1.1.-	p591	591	Linoleic acid metabolism
group A	1.1.1.-	p622	622	Toluene and xylene degradation
group A	1.1.1.-	p625	625	Tetrachloroethene degradation
group A	1.1.1.-	p633	633	Trinitrotoluene degradation
group A	1.1.1.-	p640	640	Propanoate metabolism
group A	1.1.1.-	p650	650	Butanoate metabolism
group A	1.1.1.-	p680	680	Methane metabolism
group A	1.1.1.-	p720	720	Reductive carboxylate cycle (CO2 fixation)
group A	1.1.1.-	p830	830	Retinol metabolism
group A	1.1.1.-	p950	950	Isoquinoline alkaloid biosynthesis
group A	1.1.1.-	p966	966	Glucosinolate biosynthesis
group A	1.1.1.-	p981	981	Insect hormone biosynthesis
group A	1.1.1.-	p1056	1056	Biosynthesis of type II polyketide backbone
group A	1.1.1.-	p1057	1057	Biosynthesis of type II polyketide products
group A	1.1.1.1	p10	10	Glycolysis / Gluconeogenesis
group A	1.1.1.1	p71	71	Fatty acid metabolism
group A	1.1.1.1	p260	260	"Glycine, serine and threonine metabolism"
group A	1.1.1.1	p350	350	Tyrosine metabolism
group A	1.1.1.1	p592	592	alpha-Linolenic acid metabolism
group A	1.1.1.1	p620	620	Pyruvate metabolism
group A	1.1.1.1	p625	625	Tetrachloroethene degradation
group A	1.1.1.1	p626	626	Naphthalene and anthracene degradation
group A	1.1.1.1	p830	830	Retinol metabolism
group A	1.1.1.1	p980	980	Metabolism of xenobiotics by cytochrome P450
group A	1.1.1.1	p982	982	Drug metabolism - cytochrome P450
group A	1.1.1.10	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.100	p61	61	Fatty acid biosynthesis
group A	1.1.1.100	p780	780	Biotin metabolism
group A	1.1.1.101	p564	564	Glycerophospholipid metabolism
group A	1.1.1.101	p565	565	Ether lipid metabolism
group A	1.1.1.102	p600	600	Sphingolipid metabolism
group A	1.1.1.103	p260	260	"Glycine, serine and threonine metabolism"
group A	1.1.1.104	p330	330	Arginine and proline metabolism
group A	1.1.1.105	p830	830	Retinol metabolism
group A	1.1.1.106	p770	770	Pantothenate and CoA biosynthesis
group A	1.1.1.107	p750	750	Vitamin B6 metabolism
group A	1.1.1.11	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.11	p51	51	Fructose and mannose metabolism
group A	1.1.1.110	p350	350	Tyrosine metabolism
group A	1.1.1.110	p360	360	Phenylalanine metabolism
group A	1.1.1.110	p380	380	Tryptophan metabolism
group A	1.1.1.110	p960	960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
group A	1.1.1.116	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.117	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.12	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.120	p52	52	Galactose metabolism
group A	1.1.1.122	p51	51	Fructose and mannose metabolism
group A	1.1.1.122	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.125	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.127	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.129	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.13	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.130	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.130	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.132	p51	51	Fructose and mannose metabolism
group A	1.1.1.132	p520	520	Amino sugar and nucleotide sugar metabolism
group A	1.1.1.133	p521	521	Streptomycin biosynthesis
