ec_number	ec_description	ec_pindex	pathwayid	pathway_id	pathway_name	avg_p_index_bypathway
1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	2	p10	10	Glycolysis / Gluconeogenesis	3.84
1.2.4.1	Pyruvate dehydrogenase (acetyl-transferring)	4	p10	10	Glycolysis / Gluconeogenesis	3.84
1.8.1.4	Dihydrolipoyl dehydrogenase	8	p10	10	Glycolysis / Gluconeogenesis	3.84
2.3.1.12	Dihydrolipoyllysine-residue acetyltransferase	3	p10	10	Glycolysis / Gluconeogenesis	3.84
2.7.2.3	Phosphoglycerate kinase	2	p10	10	Glycolysis / Gluconeogenesis	3.84
2.7.9.1	Pyruvate, phosphate dikinase	4	p10	10	Glycolysis / Gluconeogenesis	3.84
3.1.3.11	Fructose-bisphosphatase	5	p10	10	Glycolysis / Gluconeogenesis	3.84
4.1.2.13	Fructose-bisphosphate aldolase	5	p10	10	Glycolysis / Gluconeogenesis	3.84
4.2.1.11	Phosphopyruvate hydratase	2	p10	10	Glycolysis / Gluconeogenesis	3.84
5.3.1.1	Triose-phosphate isomerase	4	p10	10	Glycolysis / Gluconeogenesis	3.84
5.3.1.9	Glucose-6-phosphate isomerase	4	p10	10	Glycolysis / Gluconeogenesis	3.84
5.4.2.1	Transferred entry: 5.4.2.11 and 5.4.2.12	3	p10	10	Glycolysis / Gluconeogenesis	3.84
5.4.2.2	Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	7	p10	10	Glycolysis / Gluconeogenesis	3.84
1.1.1.37	Malate dehydrogenase	7	p20	20	Citrate cycle (TCA cycle)	3.37
1.1.1.41	Isocitrate dehydrogenase (NAD(+))	1	p20	20	Citrate cycle (TCA cycle)	3.37
1.1.1.42	Isocitrate dehydrogenase (NADP(+))	3	p20	20	Citrate cycle (TCA cycle)	3.37
1.2.4.1	Pyruvate dehydrogenase (acetyl-transferring)	4	p20	20	Citrate cycle (TCA cycle)	3.37
1.2.4.2	Oxoglutarate dehydrogenase (succinyl-transferring)	3	p20	20	Citrate cycle (TCA cycle)	3.37
1.3.5.1	Succinate dehydrogenase (quinone)	5	p20	20	Citrate cycle (TCA cycle)	3.37
1.8.1.4	Dihydrolipoyl dehydrogenase	8	p20	20	Citrate cycle (TCA cycle)	3.37
2.3.1.12	Dihydrolipoyllysine-residue acetyltransferase	3	p20	20	Citrate cycle (TCA cycle)	3.37
2.3.1.61	Dihydrolipoyllysine-residue succinyltransferase	3	p20	20	Citrate cycle (TCA cycle)	3.37
2.3.3.1	Citrate (Si)-synthase	2	p20	20	Citrate cycle (TCA cycle)	3.37
4.2.1.2	Fumarate hydratase	3	p20	20	Citrate cycle (TCA cycle)	3.37
4.2.1.3	Aconitate hydratase	3	p20	20	Citrate cycle (TCA cycle)	3.37
6.2.1.5	Succinate--CoA ligase (ADP-forming)	4	p20	20	Citrate cycle (TCA cycle)	3.37
2.2.1.1	Transketolase	3	p30	30	Pentose phosphate pathway	2.18
2.2.1.2	Transaldolase	1	p30	30	Pentose phosphate pathway	2.18
2.7.6.1	Ribose-phosphate diphosphokinase	2	p30	30	Pentose phosphate pathway	2.18
3.1.3.11	Fructose-bisphosphatase	5	p30	30	Pentose phosphate pathway	2.18
4.1.2.13	Fructose-bisphosphate aldolase	5	p30	30	Pentose phosphate pathway	2.18
5.1.3.1	Ribulose-phosphate 3-epimerase	3	p30	30	Pentose phosphate pathway	2.18
5.3.1.6	Ribose-5-phosphate isomerase	3	p30	30	Pentose phosphate pathway	2.18
5.3.1.9	Glucose-6-phosphate isomerase	4	p30	30	Pentose phosphate pathway	2.18
5.4.2.2	Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	7	p30	30	Pentose phosphate pathway	2.18
1.1.1.22	UDP-glucose 6-dehydrogenase	5	p40	40	Pentose and glucuronate interconversions	2.13
5.1.3.1	Ribulose-phosphate 3-epimerase	3	p40	40	Pentose and glucuronate interconversions	2.13
2.7.1.4	Fructokinase	3	p51	51	Fructose and mannose metabolism	1.94
2.7.7.13	Mannose-1-phosphate guanylyltransferase	3	p51	51	Fructose and mannose metabolism	1.94
2.7.7.22	Mannose-1-phosphate guanylyltransferase (GDP)	2	p51	51	Fructose and mannose metabolism	1.94
3.1.3.11	Fructose-bisphosphatase	5	p51	51	Fructose and mannose metabolism	1.94
4.1.2.13	Fructose-bisphosphate aldolase	5	p51	51	Fructose and mannose metabolism	1.94
5.3.1.1	Triose-phosphate isomerase	4	p51	51	Fructose and mannose metabolism	1.94
5.3.1.6	Ribose-5-phosphate isomerase	3	p51	51	Fructose and mannose metabolism	1.94
5.3.1.8	Mannose-6-phosphate isomerase	3	p51	51	Fructose and mannose metabolism	1.94
5.4.2.8	Phosphomannomutase	3	p51	51	Fructose and mannose metabolism	1.94
3.2.1.22	Alpha-galactosidase	4	p52	52	Galactose metabolism	2.39
4.1.2.21	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	1	p52	52	Galactose metabolism	2.39
5.1.3.2	UDP-glucose 4-epimerase	3	p52	52	Galactose metabolism	2.39
5.4.2.2	Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	7	p52	52	Galactose metabolism	2.39
1.1.1.22	UDP-glucose 6-dehydrogenase	5	p53	53	Ascorbate and aldarate metabolism	2.24
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	2	p61	61	Fatty acid biosynthesis	1.72
1.3.1.9	Enoyl-[acyl-carrier-protein] reductase (NADH)	1	p61	61	Fatty acid biosynthesis	1.72
2.3.1.179	Beta-ketoacyl-[acyl-carrier-protein] synthase II	2	p61	61	Fatty acid biosynthesis	1.72
2.3.1.180	Beta-ketoacyl-[acyl-carrier-protein] synthase III	1	p61	61	Fatty acid biosynthesis	1.72
2.3.1.39	[Acyl-carrier-protein] S-malonyltransferase	1	p61	61	Fatty acid biosynthesis	1.72
4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	2	p61	61	Fatty acid biosynthesis	1.72
6.3.4.14	Biotin carboxylase	1	p61	61	Fatty acid biosynthesis	1.72
6.4.1.2	Acetyl-CoA carboxylase	6	p61	61	Fatty acid biosynthesis	1.72
1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	12	p62	62	Fatty acid elongation in mitochondria	4.23
2.3.1.16	Acetyl-CoA C-acyltransferase	8	p62	62	Fatty acid elongation in mitochondria	4.23
4.2.1.17	Enoyl-CoA hydratase	17	p62	62	Fatty acid elongation in mitochondria	4.23
1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	12	p71	71	Fatty acid metabolism	4.44
2.3.1.16	Acetyl-CoA C-acyltransferase	8	p71	71	Fatty acid metabolism	4.44
2.3.1.9	Acetyl-CoA C-acetyltransferase	11	p71	71	Fatty acid metabolism	4.44
4.2.1.17	Enoyl-CoA hydratase	17	p71	71	Fatty acid metabolism	4.44
5.3.3.8	Dodecenoyl-CoA isomerase	1	p71	71	Fatty acid metabolism	4.44
6.2.1.20	Long-chain-fatty-acid--[acyl-carrier-protein] ligase	1	p71	71	Fatty acid metabolism	4.44
1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	12	p120	120	Primary bile acid biosynthesis	1.84
3.5.1.24	Choloylglycine hydrolase	2	p120	120	Primary bile acid biosynthesis	1.84
3.5.1.24	Choloylglycine hydrolase	2	p121	121	Secondary bile acid biosynthesis	1.11
1.6.5.2	NAD(P)H dehydrogenase (quinone)	1	p130	130	Ubiquinone and other terpenoid-quinone biosynthesis	1.4
