genome_id	genome_name	genome_name_length	genusspecies	genusspecies1	Species	taxon_id	genome_length	genome_size_mbp
222891.8	Neorickettsia sennetsu str. Miyayama	Neorickettsia_sennetsu 0.86	Neorickettsia_sennetsu	Neorickettsia_sennetsu	Neorickettsia sennetsu	222891	859006	0.86
2686014.3	Neorickettsia sp_Fin17	Neorickettsia_findlayensis 0.86	Neorickettsia_findlayensis	Neorickettsia_sp_Fin17	Neorickettsia findlayensis	2686014	864092	0.86
1714371.3	Neorickettsia sp_179522	Neorickettsia_sp_179522 0.86	Neorickettsia_sp_179522	Neorickettsia_sp_179522	Neorickettsia sp_179522	1714371	859205	0.86
1286528.3	Neorickettsia helminthoeca str. Oregon	Neorickettsia_helminthoeca 0.88	Neorickettsia_helminthoeca	Neorickettsia_helminthoeca	Neorickettsia helminthoeca	1286528	884232	0.88
784.27	Orientia tsutsugamushi strain_Wuj/2014	Orientia_tsutsugamushi 1.97	Orientia_tsutsugamushi	Orientia_tsutsugamushi	Orientia tsutsugamushi	784	1972387	1.97
2698648.6	Rickettsia endo_Cimex lectularius RiClec	Rickettsia_endo_Cimex 1.61	Rickettsia_endo_Cimex	Rickettsia_endo_Cimex	Rickettsia endo_Cimex lectularius	2698648	1611726	1.61
931099.3	Rickettsia endo_Oedothorax gibbosus Oegibbosus-W744x776	Rickettsia_endo_Oedothorax 2.62	Rickettsia_endo_Oedothorax	Rickettsia_endo_Oedothorax	Rickettsia endo_Oedothorax gibbosus	931099	2623967	2.62
1182263.48	Rickettsia sp_MEAM1 (Bemisia tabaci)	Rickettsia_endo_Bemisia 1.38	Rickettsia_endo_Bemisia	Rickettsia_sp_MEAM1	Rickettsia endo_Bemisia tabaci	1182263	1378618	1.38
1359193.3	Rickettsia bellii str. RML An4	Rickettsia_bellii 1.54	Rickettsia_bellii	Rickettsia_bellii	Rickettsia bellii	1359193	1543880	1.54
1105107.3	Rickettsia canadensis str. CA410	Rickettsia_canadensis 1.15	Rickettsia_canadensis	Rickettsia_canadensis	Rickettsia canadensis	1105107	1150228	1.15
293614.5	Rickettsia akari str. Hartford	Rickettsia_akari 1.23	Rickettsia_akari	Rickettsia_akari	Rickettsia akari	293614	1231060	1.23
1105110.3	Rickettsia australis str. Cutlack	Rickettsia_australis 1.32	Rickettsia_australis	Rickettsia_australis	Rickettsia australis	1105110	1323280	1.32
2761623.3	Rickettsia sp_Tillamook 23	Rickettsia_tillamookensis 1.44	Rickettsia_tillamookensis	Rickettsia_sp_Tillamook	Rickettsia tillamookensis	2761623	1438973	1.44
1359196.3	Rickettsia felis str. Pedreira	Rickettsia_felis 1.49	Rickettsia_felis	Rickettsia_felis	Rickettsia felis	1359196	1485193	1.49
109232.6	Rickettsia monacensis IrR/Munich	Rickettsia_monacensis 1.35	Rickettsia_monacensis	Rickettsia_monacensis	Rickettsia monacensis	109232	1353450	1.35
334545.3	Rickettsia tamurae strain_AT-1	Rickettsia_tamurae 1.45	Rickettsia_tamurae	Rickettsia_tamurae	Rickettsia tamurae	334545	1453216	1.45
1105114.3	Rickettsia montanensis str. OSU 85-930	Rickettsia_montanensis 1.28	Rickettsia_montanensis	Rickettsia_montanensis	Rickettsia montanensis	1105114	1279798	1.28
347255.3	Rickettsia africae ESF-5	Rickettsia_africae 1.29	Rickettsia_africae	Rickettsia_africae	Rickettsia africae	347255	1290917	1.29
1359202.3	Rickettsia parkeri str. AT#24	Rickettsia_parkeri 1.3	Rickettsia_parkeri	Rickettsia_parkeri	Rickettsia parkeri	1359202	1300534	1.3
272944.4	Rickettsia conorii str. Malish 7	Rickettsia_conorii 1.27	Rickettsia_conorii	Rickettsia_conorii	Rickettsia conorii	272944	1268755	1.27
1105109.3	Rickettsia slovaca str. D-CWPP	Rickettsia_slovaca 1.28	Rickettsia_slovaca	Rickettsia_slovaca	Rickettsia slovaca	1105109	1275720	1.28
562019.3	Rickettsia peacockii str. Rustic	Rickettsia_peacockii 1.31	Rickettsia_peacockii	Rickettsia_peacockii	Rickettsia peacockii	562019	1314898	1.31
481009.3	Rickettsia philipii str. 364D	Rickettsia_philipii 1.29	Rickettsia_philipii	Rickettsia_philipii	Rickettsia philipii	481009	1287740	1.29
783.18	Rickettsia rickettsii strain_Iowa	Rickettsia_rickettsii 1.27	Rickettsia_rickettsii	Rickettsia_rickettsii	Rickettsia rickettsii	783	1268242	1.27
35790.36	Rickettsia japonica strain_LA4/2015	Rickettsia_japonica 1.28	Rickettsia_japonica	Rickettsia_japonica	Rickettsia japonica	35790	1283254	1.28
1105112.3	Rickettsia massiliae str. AZT80	Rickettsia_massiliae 1.28	Rickettsia_massiliae	Rickettsia_massiliae	Rickettsia massiliae	1105112	1278719	1.28
1359199.3	Rickettsia rhipicephali str. Ect	Rickettsia_rhipicephali 1.27	Rickettsia_rhipicephali	Rickettsia_rhipicephali	Rickettsia rhipicephali	1359199	1266919	1.27
33989.5	Rickettsia amblyommatis strain_An13	Rickettsia_amblyommatis 1.48	Rickettsia_amblyommatis	Rickettsia_amblyommatis	Rickettsia amblyommatis	33989	1480876	1.48
