ec_number	ec_description	ec_pindex	pathwayid	pathway_id	pathway_name	avg_p_index_bypathway
1.1.1.1	Alcohol dehydrogenase	11	p10	10	Glycolysis / Gluconeogenesis	3.84
1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	2	p10	10	Glycolysis / Gluconeogenesis	3.84
1.2.1.3	Aldehyde dehydrogenase (NAD(+))	17	p10	10	Glycolysis / Gluconeogenesis	3.84
2.7.1.1	Hexokinase	7	p10	10	Glycolysis / Gluconeogenesis	3.84
2.7.1.11	6-phosphofructokinase	5	p10	10	Glycolysis / Gluconeogenesis	3.84
2.7.1.40	Pyruvate kinase	4	p10	10	Glycolysis / Gluconeogenesis	3.84
2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	7	p10	10	Glycolysis / Gluconeogenesis	3.84
2.7.1.90	Diphosphate--fructose-6-phosphate 1-phosphotransferase	3	p10	10	Glycolysis / Gluconeogenesis	3.84
2.7.2.3	Phosphoglycerate kinase	2	p10	10	Glycolysis / Gluconeogenesis	3.84
2.7.9.1	Pyruvate, phosphate dikinase	4	p10	10	Glycolysis / Gluconeogenesis	3.84
2.7.9.2	Pyruvate, water dikinase	4	p10	10	Glycolysis / Gluconeogenesis	3.84
3.2.1.86	6-phospho-beta-glucosidase	2	p10	10	Glycolysis / Gluconeogenesis	3.84
4.1.1.32	Phosphoenolpyruvate carboxykinase (GTP)	3	p10	10	Glycolysis / Gluconeogenesis	3.84
4.1.2.13	Fructose-bisphosphate aldolase	5	p10	10	Glycolysis / Gluconeogenesis	3.84
4.2.1.11	Phosphopyruvate hydratase	2	p10	10	Glycolysis / Gluconeogenesis	3.84
5.1.3.3	Aldose 1-epimerase	2	p10	10	Glycolysis / Gluconeogenesis	3.84
5.3.1.1	Triose-phosphate isomerase	4	p10	10	Glycolysis / Gluconeogenesis	3.84
5.3.1.9	Glucose-6-phosphate isomerase	4	p10	10	Glycolysis / Gluconeogenesis	3.84
5.4.2.2	Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	7	p10	10	Glycolysis / Gluconeogenesis	3.84
4.1.1.32	Phosphoenolpyruvate carboxykinase (GTP)	3	p20	20	Citrate cycle (TCA cycle)	3.37
4.1.3.6	Citrate (pro-3S)-lyase	1	p20	20	Citrate cycle (TCA cycle)	3.37
1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)	2	p30	30	Pentose phosphate pathway	2.18
1.1.1.49	Glucose-6-phosphate dehydrogenase (NADP(+))	2	p30	30	Pentose phosphate pathway	2.18
2.2.1.1	Transketolase	3	p30	30	Pentose phosphate pathway	2.18
2.2.1.2	Transaldolase	1	p30	30	Pentose phosphate pathway	2.18
2.7.1.11	6-phosphofructokinase	5	p30	30	Pentose phosphate pathway	2.18
2.7.1.12	Gluconokinase	1	p30	30	Pentose phosphate pathway	2.18
2.7.1.15	Ribokinase	1	p30	30	Pentose phosphate pathway	2.18
2.7.1.45	2-dehydro-3-deoxygluconokinase	2	p30	30	Pentose phosphate pathway	2.18
2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	7	p30	30	Pentose phosphate pathway	2.18
2.7.1.90	Diphosphate--fructose-6-phosphate 1-phosphotransferase	3	p30	30	Pentose phosphate pathway	2.18
2.7.6.1	Ribose-phosphate diphosphokinase	2	p30	30	Pentose phosphate pathway	2.18
3.1.1.31	6-phosphogluconolactonase	1	p30	30	Pentose phosphate pathway	2.18
4.1.2.13	Fructose-bisphosphate aldolase	5	p30	30	Pentose phosphate pathway	2.18
4.1.2.14	2-dehydro-3-deoxy-phosphogluconate aldolase	3	p30	30	Pentose phosphate pathway	2.18
4.1.2.4	Deoxyribose-phosphate aldolase	1	p30	30	Pentose phosphate pathway	2.18
5.1.3.1	Ribulose-phosphate 3-epimerase	3	p30	30	Pentose phosphate pathway	2.18
5.3.1.6	Ribose-5-phosphate isomerase	3	p30	30	Pentose phosphate pathway	2.18
5.3.1.9	Glucose-6-phosphate isomerase	4	p30	30	Pentose phosphate pathway	2.18
5.4.2.2	Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	7	p30	30	Pentose phosphate pathway	2.18
5.4.2.7	Phosphopentomutase	2	p30	30	Pentose phosphate pathway	2.18
1.1.1.22	UDP-glucose 6-dehydrogenase	5	p40	40	Pentose and glucuronate interconversions	2.13
1.1.1.57	Fructuronate reductase	1	p40	40	Pentose and glucuronate interconversions	2.13
1.2.1.3	Aldehyde dehydrogenase (NAD(+))	17	p40	40	Pentose and glucuronate interconversions	2.13
2.7.1.16	Ribulokinase	1	p40	40	Pentose and glucuronate interconversions	2.13
2.7.1.45	2-dehydro-3-deoxygluconokinase	2	p40	40	Pentose and glucuronate interconversions	2.13
3.2.1.31	Beta-glucuronidase	7	p40	40	Pentose and glucuronate interconversions	2.13
4.1.2.14	2-dehydro-3-deoxy-phosphogluconate aldolase	3	p40	40	Pentose and glucuronate interconversions	2.13
4.2.1.8	Mannonate dehydratase	1	p40	40	Pentose and glucuronate interconversions	2.13
5.1.3.1	Ribulose-phosphate 3-epimerase	3	p40	40	Pentose and glucuronate interconversions	2.13
5.1.3.4	L-ribulose-5-phosphate 4-epimerase	2	p40	40	Pentose and glucuronate interconversions	2.13
5.3.1.12	Glucuronate isomerase	1	p40	40	Pentose and glucuronate interconversions	2.13
2.7.1.1	Hexokinase	7	p51	51	Fructose and mannose metabolism	1.94
2.7.1.11	6-phosphofructokinase	5	p51	51	Fructose and mannose metabolism	1.94
2.7.1.56	1-phosphofructokinase	1	p51	51	Fructose and mannose metabolism	1.94
2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	7	p51	51	Fructose and mannose metabolism	1.94
2.7.1.90	Diphosphate--fructose-6-phosphate 1-phosphotransferase	3	p51	51	Fructose and mannose metabolism	1.94
4.1.2.13	Fructose-bisphosphate aldolase	5	p51	51	Fructose and mannose metabolism	1.94
5.3.1.1	Triose-phosphate isomerase	4	p51	51	Fructose and mannose metabolism	1.94
5.3.1.6	Ribose-5-phosphate isomerase	3	p51	51	Fructose and mannose metabolism	1.94
5.3.1.8	Mannose-6-phosphate isomerase	3	p51	51	Fructose and mannose metabolism	1.94
5.4.2.8	Phosphomannomutase	3	p51	51	Fructose and mannose metabolism	1.94
2.7.1.1	Hexokinase	7	p52	52	Galactose metabolism	2.39
2.7.1.11	6-phosphofructokinase	5	p52	52	Galactose metabolism	2.39
2.7.1.6	Galactokinase	2	p52	52	Galactose metabolism	2.39
2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	7	p52	52	Galactose metabolism	2.39
3.2.1.22	Alpha-galactosidase	4	p52	52	Galactose metabolism	2.39
3.2.1.23	Beta-galactosidase	5	p52	52	Galactose metabolism	2.39
3.5.1.25	N-acetylglucosamine-6-phosphate deacetylase	2	p52	52	Galactose metabolism	2.39
5.1.3.2	UDP-glucose 4-epimerase	3	p52	52	Galactose metabolism	2.39
5.1.3.3	Aldose 1-epimerase	2	p52	52	Galactose metabolism	2.39
5.4.2.2	Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	7	p52	52	Galactose metabolism	2.39
1.1.1.22	UDP-glucose 6-dehydrogenase	5	p53	53	Ascorbate and aldarate metabolism	2.24
1.2.1.3	Aldehyde dehydrogenase (NAD(+))	17	p53	53	Ascorbate and aldarate metabolism	2.24
2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	7	p53	53	Ascorbate and aldarate metabolism	2.24
3.2.1.31	Beta-glucuronidase	7	p53	53	Ascorbate and aldarate metabolism	2.24
5.1.3.4	L-ribulose-5-phosphate 4-epimerase	2	p53	53	Ascorbate and aldarate metabolism	2.24
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	2	p61	61	Fatty acid biosynthesis	1.72
1.3.1.9	Enoyl-[acyl-carrier-protein] reductase (NADH)	1	p61	61	Fatty acid biosynthesis	1.72
6.2.1.3	Long-chain-fatty-acid--CoA ligase	2	p61	61	Fatty acid biosynthesis	1.72
2.3.1.16	Acetyl-CoA C-acyltransferase	8	p62	62	Fatty acid elongation in mitochondria	4.23
3.1.2.2	Palmitoyl-CoA hydrolase	2	p62	62	Fatty acid elongation in mitochondria	4.23
1.1.1.1	Alcohol dehydrogenase	11	p71	71	Fatty acid metabolism	4.44
1.2.1.3	Aldehyde dehydrogenase (NAD(+))	17	p71	71	Fatty acid metabolism	4.44
2.3.1.16	Acetyl-CoA C-acyltransferase	8	p71	71	Fatty acid metabolism	4.44
2.3.1.9	Acetyl-CoA C-acetyltransferase	11	p71	71	Fatty acid metabolism	4.44
6.2.1.3	Long-chain-fatty-acid--CoA ligase	2	p71	71	Fatty acid metabolism	4.44
1.6.99.3	NADH dehydrogenase	1	p190	190	Oxidative phosphorylation	1.7
2.7.4.1	Polyphosphate kinase	1	p190	190	Oxidative phosphorylation	1.7
3.6.1.1	Inorganic diphosphatase	1	p190	190	Oxidative phosphorylation	1.7
3.6.3.14	H(+)-transporting two-sector ATPase	3	p190	190	Oxidative phosphorylation	1.7
3.6.3.14	H(+)-transporting two-sector ATPase	3	p195	195	Photosynthesis	1.6
1.4.1.2	Glutamate dehydrogenase	5	p220	220	Arginine biosynthesis	2.97
2.1.3.3	Ornithine carbamoyltransferase	2	p220	220	Arginine biosynthesis	2.97
2.6.1.1	Aspartate transaminase	11	p220	220	Arginine biosynthesis	2.97
2.7.2.2	Carbamate kinase	4	p220	220	Arginine biosynthesis	2.97
3.5.1.2	Glutaminase	5	p220	220	Arginine biosynthesis	2.97
3.5.3.6	Arginine deiminase	2	p220	220	Arginine biosynthesis	2.97
1.1.1.205	IMP dehydrogenase	2	p230	230	Purine metabolism	1.6
1.17.1.4	Xanthine dehydrogenase	1	p230	230	Purine metabolism	1.6
